1740091014313671000, 3, forklift, 215, 528, 321, 478
1740091014313671000, 4, humans, 1293, 524, 67, 202
1740091014313671000, 5, truck, 0, 239, 1337, 457
1740091014410498000, 0, vest, 1309, 553, 49, 70
1740091014410498000, 1, cover, 27, 332, 189, 271
1740091014410498000, 2, loads, 199, 317, 464, 259
1740091014410498000, 3, forklift, 218, 526, 320, 474
1740091014410498000, 4, humans, 1293, 524, 67, 202
1740091014410498000, 5, truck, 0, 239, 1337, 457
1740091014511482000, 0, vest, 1309, 553, 49, 70
1740091014511482000, 1, cover, 27, 332, 190, 271
1740091014511482000, 2, loads, 199, 317, 465, 259
1740091014511482000, 3, forklift, 222, 525, 317, 471
1740091014511482000, 4, humans, 1293, 524, 67, 202
1740091014511482000, 5, truck, 0, 239, 1337, 457
1740091014616422000, 0, vest, 1309, 552, 49, 70
1740091014616422000, 1, cover, 27, 332, 190, 271
1740091014616422000, 2, loads, 198, 316, 466, 258
1740091014616422000, 3, forklift, 225, 524, 315, 469
1740091014616422000, 4, humans, 1293, 524, 67, 202
1740091014616422000, 5, truck, 0, 239, 1336, 457
1740091014712048000, 0, vest, 1309, 553, 49, 70
1740091014712048000, 1, cover, 27, 333, 191, 271
1740091014712048000, 2, loads, 198, 317, 467, 258
1740091014712048000, 3, forklift, 230, 521, 313, 469
1740091014712048000, 4, humans, 1293, 524, 67, 201
1740091014712048000, 5, truck, 0, 239, 1336, 457
1740091014811257000, 0, vest, 1309, 552, 49, 70
1740091014811257000, 1, cover, 27, 333, 192, 271
1740091014811257000, 2, loads, 198, 317, 467, 258
1740091014811257000, 3, forklift, 234, 519, 310, 469
1740091014811257000, 4, humans, 1294, 524, 67, 201
1740091014811257000, 5, truck, 0, 239, 1336, 457
1740091014910885000, 0, vest, 1309, 553, 49, 70
1740091014910885000, 1, cover, 27, 333, 192, 270
1740091014910885000, 2, loads, 198, 316, 468, 258
1740091014910885000, 3, forklift, 237, 518, 308, 469
1740091014910885000, 4, humans, 1294, 524, 67, 201
1740091014910885000, 5, truck, 0, 239, 1336, 457
1740091015011782000, 0, vest, 1310, 552, 48, 71
1740091015011782000, 1, cover, 27, 333, 193, 270
1740091015011782000, 2, loads, 198, 317, 468, 258
1740091015011782000, 3, forklift, 240, 518, 307, 467
1740091015011782000, 4, humans, 1295, 524, 66, 202
1740091015011782000, 5, truck, 0, 239, 1336, 457
1740091015164922000, 0, vest, 1310, 552, 48, 71
1740091015164922000, 1, cover, 26, 333, 193, 270
1740091015164922000, 2, loads, 198, 317, 469, 258
1740091015164922000, 3, forklift, 243, 518, 306, 466
1740091015164922000, 4, humans, 1295, 524, 65, 202
1740091015164922000, 5, truck, 0, 239, 1336, 457
1740091015215229000, 0, vest, 1310, 552, 48, 71
1740091015215229000, 1, cover, 25, 333, 194, 270
1740091015215229000, 2, loads, 198, 317, 469, 258
1740091015215229000, 3, forklift, 245, 517, 305, 464
1740091015215229000, 4, humans, 1295, 524, 65, 202
1740091015215229000, 5, truck, 0, 239, 1336, 457
1740091015314430000, 0, vest, 1310, 552, 48, 71
1740091015314430000, 1, cover, 27, 333, 193, 271
1740091015314430000, 2, loads, 198, 317, 469, 259
1740091015314430000, 3, forklift, 248, 516, 304, 463
1740091015314430000, 4, humans, 1295, 524, 65, 202
1740091015314430000, 5, truck, 0, 239, 1336, 457
1740091015411461000, 0, vest, 1310, 552, 48, 71
1740091015411461000, 1, cover, 29, 333, 192, 270
1740091015411461000, 2, loads, 198, 317, 469, 259
1740091015411461000, 3, forklift, 251, 515, 302, 461
1740091015411461000, 4, humans, 1295, 524, 65, 202
1740091015411461000, 5, truck, 0, 239, 1336, 457
1740091015511952000, 0, vest, 1311, 552, 48, 72
1740091015511952000, 1, cover, 29, 332, 191, 270
1740091015511952000, 2, loads, 198, 317, 469, 259
1740091015511952000, 3, forklift, 254, 514, 300, 460
1740091015511952000, 4, humans, 1295, 524, 65, 202
1740091015511952000, 5, truck, 0, 239, 1337, 458
1740091015613088000, 0, vest, 1311, 552, 48, 72
1740091015613088000, 1, cover, 26, 332, 194, 270
1740091015613088000, 2, loads, 199, 317, 469, 260
1740091015613088000, 3, forklift, 258, 513, 299, 458
1740091015613088000, 4, humans, 1295, 524, 65, 202
1740091015613088000, 5, truck, 0, 240, 1338, 458
1740091015711366000, 0, vest, 1311, 552, 48, 72
1740091015711366000, 1, cover, 28, 332, 193, 270
1740091015711366000, 2, loads, 199, 316, 469, 260
1740091015711366000, 3, forklift, 261, 511, 297, 456
1740091015711366000, 4, humans, 1296, 524, 65, 202
1740091015711366000, 5, truck, 0, 240, 1338, 458
1740091015816578000, 0, vest, 1311, 552, 48, 72
1740091015816578000, 1, cover, 25, 333, 195, 270
1740091015816578000, 2, loads, 199, 317, 469, 260
1740091015816578000, 3, forklift, 264, 508, 295, 454
1740091015816578000, 4, humans, 1295, 524, 65, 203
1740091015816578000, 5, truck, 0, 241, 1337, 458
